"id","created_at","updated_at","code","description","image_url","max_item","menu_code","min_item","name","order","other_price","other_rate","parent_code","price","type","status","step","tenant_id","thumbnail_url","unit","value_type","vat"
"5222d1a4-5962-4bb9-8838-5d0065855dc3","2025-01-24 15:36:25.859",NULL,"SUPPORT_SERVICE","1. Nội dung dịch vụ:<br/>- Kiểm tra, vệ sinh bảo dưỡng bình nóng lạnh để loại bỏ các nguy cơ hỏng<br/>hóc, giảm tiêu thụ điện và giảm nguy cơ mất an toàn do rò điện. Bảo dưỡng<br/>bình nóng lạnh định kỳ 6 tháng/lần giúp bình làm nóng tốt, tránh<br/>rò rỉ, chập cháy điện.<br/>2. Công việc thực hiện:<br/>- Kiểm tra sơ bộ máy.<br/>- Kiểm tra phần điện, điều khiển nhiệt, thanh nhiệt, thanh magie, rơle, bo<br/>mạch điều khiển<br/>- Vệ sinh sạch sẽ và loại bỏ các cặn bẩn bên trong bình<br/>- Vệ sinh hiện trường, nghiệm thu và bàn giao bình nóng lạnh hoạt động ổn<br/>định cho khách hàng.<br/>3. Thông tin dịch vụ:<br/>- Phục vụ tại nhà ở tất cả các quận huyện tại 63 tỉnh thành.<br/>- Hỗ trợ khách hàng: 8h00 đến 20h00 hằng ngày.<br/>4. Bảo hành: 3 ngày",NULL,NULL,"GHTDVTT",NULL,"Không giới hạn số lần thăm khám","10",NULL,NULL,NULL,"0",NULL,True,NULL,NULL,NULL,"Lần","INTEGER","8"
"3cc7b9e0-9855-479a-bb12-061070603516","2025-02-12 08:50:53.633",NULL,"TS-HS-BD-DHC","1. Nội dung dịch vụ:<br/>- Bảo dưỡng các loại điều hoà đứng (điều hoà cây) định kỳ<br/>giúp điều hoà hoạt động ổn định, gia tăng hiệu quả làm<br/>lạnh, giảm tiêu thụ điện.<br/>2. Công việc thực hiện:<br/>- Kiểm tra sơ bộ hệ thống, kiểm tra hiện trạng gas.<br/>- Vệ sinh bảo trì dàn nóng: máy nén, quạt, hệ thống giàn<br/>tản nhiệt, ống đồng tản nhiệt, board mạnh, dây dẫn, tiếp<br/>đất, cống cáp, máng cáp...<br/>- Vệ sinh bảo trì dàn lạnh: lưới lọc, hệ thống giàn tản nhiệt,<br/>ống thoát nước, bo mạch điều khiển của điều hòa, quạt,<br/>điều khiển điều hòa.<br/>- Kiểm tra vệ sinh hệ thống ống đồng, bảo ôn và dây điện<br/>giữa giàn nóng và giàn lạnh.<br/>- Vệ sinh hiện trường, nghiệm thu và bàn giao điều hoà làm<br/>mát ổn định cho khách hàng.<br/>3. Thông tin dịch vụ:<br/>- Phục vụ tại nhà ở tất cả các quận huyện tại 63 tỉnh thành.<br/>- Hỗ trợ khách hàng: 8h00 đến 20h00 hằng ngày.<br/>4. Bảo hành: 3 ngày",NULL,NULL,"8dc69fa1-2e76-436a-a5ae-662bc5da8a02",NULL,"Bảo dưỡng Điều hòa tủ đứng (Không bao gồm hàng nội địa)","3",NULL,NULL,NULL,"480000","BD",True,NULL,NULL,NULL,"Máy","INTEGER","8"
"486e676f-a86f-4c7a-85e3-07c598157cb9","2025-02-12 08:51:48.342",NULL,"TS-HS-LD-QT-L","1.Nội dung dịch vụ:<br/>-Khảo sát, lắp đặt quạt trần trên trần bê tông chưa có móc treo<br/>2.Công việc thực hiện:<br/>-Khảo sát vị trí lăp đặt quạt trần .<br/>-Lắp đặt móc treo, lắp quạt vào móc.<br/>-Kết nối nguồn điện cho quạt trần.<br/>-Vệ sinh hiện trường, nghiệm thu và bàn giao  cho khách hàng.<br/>3.Thông tin dịch vụ<br/>-Phục vụ tại nhà ở tất cả các quận huyện tại 63 tỉnh thành.<br/>-Hỗ trợ khách hàng: 8h00 đến 20h00 hằng ngày.<br/>4.Bảo hành: 3 ngày",NULL,NULL,"302a171d-9ff7-4c45-a645-5fecc07a5c6f",NULL,"Lắp quạt trần trên trần bê tông chưa có móc treo","10",NULL,NULL,NULL,"400000","LD",True,NULL,NULL,NULL,"Máy","INTEGER","8"
"d272fd2f-c187-4a9d-9fef-72fe7dd210fb","2025-02-12 08:50:56.644",NULL,"TS-HS-LD-MLN-TL","1. Nội dung dịch vụ:<br/>- Khảo sát, tháo, lắp đặt máy lọc nước.<br/>2. Công việc thực hiện:<br/>- Lắp máy lọc nước:<br/>+ Khảo sát vị trí lắp máy lọc nước.<br/>+ Lắp đường nước cấp, van khóa nước cấp, cho máy lọc nước.<br/>+ Lắp đường xả nước thải.<br/>- Vệ sinh hiện trường, nghiệm thu và bàn giao máy lọc nước cho khách<br/>hàng.<br/>3. Thông tin dịch vụ<br/>- Phục vụ tại nhà ở tất cả các quận huyện tại 63 tỉnh thành.<br/>- Hỗ trợ khách hành: 8h00 đến 20h00 hằng ngày.<br/>4. Bảo hành: 3 ngày.",NULL,NULL,"f944989b-92c7-4806-8dcc-23824eed006f",NULL,"Tháo và lắp máy lọc nước","10",NULL,NULL,NULL,"350000","LD",True,NULL,NULL,NULL,"Máy","INTEGER","8"
"a2bface8-b769-447a-b29e-0eda30fa5db1","2025-02-12 08:51:01.014",NULL,"TS-HS-LD-QT-T","1.Nội dung dịch vụ:<br/>-Khảo sát, tháo quạt trần cũ, lắp quạt trần mới.<br/>2.Công việc thực hiện: <br/>-Khảo sát vị trí tháo đặt quạt trần, ngắt điện cấp vào quạt cũ .<br/>-Tháo quạt trần cũ, tháo cầu đấu điện vào quạt.<br/>-Lắp đặt quạt trần mới, kết nối nguồn điện cho quạt trần.<br/>-Vệ sinh hiện trường, nghiệm thu và bàn giao  cho khách hàng.<br/>3.Thông tin dịch vụ<br/>-Phục vụ tại nhà ở tất cả các quận huyện tại 63 tỉnh thành.<br/>-Hỗ trợ khách hàng: 8h00 đến 20h00 hằng ngày.<br/>4.Bảo hành: 3 ngày",NULL,NULL,"302a171d-9ff7-4c45-a645-5fecc07a5c6f",NULL,"Tháo quạt trần cũ lắp quạt mới","10",NULL,NULL,NULL,"300000","LD",True,NULL,NULL,NULL,"Máy","INTEGER","8"
"f3070bbc-40e0-47af-8b51-0b685f7b5f77","2025-02-12 08:51:09.393",NULL,"TS-HS-LD-HM-T","1.Nội dung dịch vụ:<br/>-Tháo máy hút mùi.<br/>2.Công việc thực hiện: <br/>-Ngắt nguồn điện cho máy hút mùi<br/>-Tháo máy hút mùi, cầu đấu điện, các khớp nối mềm vào máy<br/>-Vệ sinh hiện trường, nghiệm thu và bàn giao máy hút mùi cho khách hàng.<br/>3.Thông tin dịch vụ<br/>-Phục vụ tại nhà ở tất cả các quận huyện tại 63 tỉnh thành.<br/>-Hỗ trợ khách hàng: 8h00 đến 20h00 hằng ngày.<br/>4.Bảo hành: 3 ngày.",NULL,NULL,"e0ea7c23-4872-4c80-9527-243269865c92",NULL,"Tháo máy hút mùi","10",NULL,NULL,NULL,"250000","LD",True,NULL,NULL,NULL,"Máy","INTEGER","8"
"f226e585-1ee2-4075-8b32-56fdeb7ec744","2025-02-12 08:51:14.712",NULL,"TS-HS-LD-MNN-T","1. Nội dung dịch vụ:<br/>- Khảo sát, tháo máy nước nóng trực tiếp, gián tiếp.<br/>2. Công việc thực hiện:<br/>- Ngắt nguồn điện cấp cho bình. Sau đó tháo hết nước trong máy.<br/>- Tháo dây nguồn điện cấp cho bình<br/>- Tháo dây cấp nước lạnh từ ống vào máy và dây cấp nước nóng từ<br/>máy ra ống cấp nước nóng<br/>- Tháo bình ra khỏi giá treo. Sau đó tháo giá treo bình<br/>- Vệ sinh hiện trường, nghiệm thu và bàn giao thiết bị cho khách hàng.<br/>3. Thông tin dịch vụ<br/>- Phục vụ tại nhà ở tất cả các quận huyện tại 63 tỉnh thành.<br/>- Hỗ trợ khách hàng: 8h00 đến 20h00 hằng ngày.<br/>4. Bảo hành: 3 ngày",NULL,NULL,"85586122-a3aa-41c0-af77-67edb5ba175f",NULL,"Tháo máy nước nóng trực tiếp/gián tiếp","10",NULL,NULL,NULL,"300000","LD",True,NULL,NULL,NULL,"Máy","INTEGER","8"
"c3a1dabb-1441-4a10-a965-527b1c76eb1d","2025-02-12 08:51:24.601",NULL,"TT-HS-BD-DHMTAT12","1. Nội dung dịch vụ:<br/>- Bảo dưỡng các loại điều hòa định kỳ giúp điều hòa hoạt động<br/>ổn định, gia tăng hiệu quả làm lạnh, giảm tiêu thụ điện<br/>2. Công việc thực hiện:<br/>- Kiểm tra sơ bộ hệ thống, kiểm tra hiện trạng gas.<br/>- Vệ sinh bảo trì dàn nóng: máy nén, quạt, hệ thống giàn tản<br/>nhiệt, ống đồng tản nhiệt, board mạnh, dây dẫn, tiếp đất...<br/>- Vệ sinh bảo trì dàn lạnh: lưới lọc, hệ thống giàn tản nhiệt,<br/>ống thoát nước, bo mạch điều khiển của điều hòa, quạt, điều<br/>khiển điều hòa.<br/>- Kiểm tra vệ sinh hệ thống ống đồng, bảo ôn và dây điện giữa<br/>giàn nóng và giàn lạnh.<br/>- Vệ sinh hiện trường, nghiệm thu và bàn giao điều hoà làm<br/>mát ổn định cho khách hàng.<br/>3. Thông tin dịch vụ<br/>- Phục vụ tại nhà ở tất cả các quận huyện tại 63 tỉnh thành.<br/>- Hỗ trợ khách hàng: 8h00 đến 20h00 hằng ngày.<br/>4. Bảo hành: 3 ngày",NULL,NULL,"GDVTT",NULL,"Bảo dưỡng điều hòa Multi âm trần 1 dàn nóng 2 dàn lạnh (Không bao gồm hàng nội địa)","10",NULL,NULL,NULL,"800000",NULL,True,NULL,NULL,NULL,"lần","INTEGER","8"
"e4d7508c-50a3-4904-93d7-e64b2c8cea46","2025-02-10 14:04:25.623",NULL,"TS-HS-LD-MNN-LTT","1.Nội dung dịch vụ:<br/>-Khảo sát, lắp đặt máy nước nóng trực tiếp.<br/>2.Công việc thực hiện:<br/>-Lắp giá treo máy<br/>-Treo máy lên giá treo<br/>-Định vị vị trí lắp sen vòi và lắp attomat, lắp van<br/>-Lắp van 3 trong 1 và đường nước lạnh vào máy, đường nước nóng ra máy.<br/>-Đấu dây điện nguồn, dấy tiếp địa cho bình. Sau đó cấp nguồn điện cho máy chạy<br/>-Vệ sinh hiện trường, nghiệm thu và bàn giao máy nước nóng cho khách hàng.<br/>3.Thông tin dịch vụ<br/>-Phục vụ tại nhà ở tất cả các quận huyện tại 63 tỉnh thành.<br/>-Hỗ trợ khách hàng: 8h00 đến 20h00 hằng ngày.<br/>4.Bảo hành: 1 tháng","https://hsapi-web.congtrinhviettel.com.vn/ea948e29-15f3-4ec8-aaa7-390e7f7c205a.png",NULL,"85586122-a3aa-41c0-af77-67edb5ba175f",NULL,"Lắp máy nước nóng trực tiếp","10",NULL,NULL,NULL,"350000","LD",True,NULL,NULL,"https://hsapi-web.congtrinhviettel.com.vn/ea948e29-15f3-4ec8-aaa7-390e7f7c205a.png","Máy","INTEGER","8"
"cf299f6d-df6a-45e5-afe0-6035abd00c11","2025-01-14 15:36:25.837","2025-02-28 16:59:38.334","TS-IS-XLSC-MT","1. Nội dung dịch vụ.<br/>- Khắc phục lỗi máy tính chạy chậm, treo, không vào được<br/>windows.<br/>2. Công việc thực hiện.<br/>- Kiểm tra sơ bộ hiện trạng máy tính trước khi làm việc.<br/>- Kiểm tra, tìm lỗi và tiến hành xử lý lỗi: Virus, Ổ cứng, Cấu hình,<br/>Rác, Phần mềm, Lỗi Windows,...<br/>- Kiểm tra máy tính sau khi xử lý.<br/>- Vệ sinh hiện trường, nghiệm thu, bàn giao với khách hàng.<br/>3. Thông tin dịch vụ.<br/>- Phục vụ tận nơi ở tất cả các quận huyện tại 63 tỉnh thành.<br/>- Hỗ trợ khách hàng 24/7: 8h00 đến 20h00.<br/>4. Bảo hành: 3 ngày","https://hsapi-web.congtrinhviettel.com.vn/files/images/_opt_homecare_uploads-homeservice_images_2023_6_7_e8e0d083-cc2a-4d63-956b-b8022234d0a5.png",NULL,"0b05242e-692a-42c5-b677-9833554be688",NULL,"Khắc phục lỗi máy tính chạy chậm, treo, không vào được window…","10",NULL,NULL,NULL,"250000","SC",False,NULL,NULL,"https://hsapi-web.congtrinhviettel.com.vn/files/images/_opt_homecare_uploads-homeservice_images_2023_6_7_e8e0d083-cc2a-4d63-956b-b8022234d0a5.png","Máy","INTEGER","8"
